time,e_kin,e_pot_harm,e_tot
   0.7400000000,  57.2441652090,4137.9125628350,4195.1567280440
   0.7450000000,  58.0167505382,4137.1399773849,4195.1567279231
   0.7500000000,  58.7944414070,4136.3622863944,4195.1567278014
   0.7550000000,  59.5772358687,4135.5794918103,4195.1567276789
   0.7600000000,  60.3651319637,4134.7915955920,4195.1567275557
   0.7650000000,  61.1581277198,4133.9985997118,4195.1567274316
   0.7700000000,  61.9562211518,4133.2005061550,4195.1567273067
   0.7750000000,  62.7594102619,4132.3973169191,4195.1567271811
   0.7800000000,  63.5676930396,4131.5890340150,4195.1567270546
   0.7850000000,  64.3810674616,4130.7756594658,4195.1567269274
   0.7900000000,  65.1995314916,4129.9571953077,4195.1567267993
   0.7950000000,  66.0230830810,4129.1336435895,4195.1567266705
   0.8000000000,  66.8517201680,4128.3050063728,4195.1567265408
   0.8050000000,  67.6854406786,4127.4712857318,4195.1567264104
   0.8100000000,  68.5242425256,4126.6324837536,4195.1567262791
   0.8150000000,  69.3681236093,4125.7886025378,4195.1567261471
   0.8200000000,  70.2170818173,4124.9396441970,4195.1567260143
   0.8250000000,  71.0711150243,4124.0856108564,4195.1567258807
   0.8300000000,  71.9302210926,4123.2265046536,4195.1567257463
   0.8350000000,  72.7943978716,4122.3623277395,4195.1567256111
   0.8400000000,  73.6636431980,4121.4930822771,4195.1567254751
   0.8450000000,  74.5379548959,4120.6187704424,4195.1567253383
   0.8500000000,  75.4173307767,4119.7393944240,4195.1567252007
   0.8550000000,  76.3017686390,4118.8549564234,4195.1567250623
   0.8600000000,  77.1912662689,4117.9654586543,4195.1567249232
   0.8650000000,  78.0858214397,4117.0709033435,4195.1567247832
   0.8700000000,  78.9854319122,4116.1712927303,4195.1567246425
   0.8750000000,  79.8900954344,4115.2666290665,4195.1567245009
   0.8800000000,  80.7998097417,4114.3569146169,4195.1567243586
   0.8850000000,  81.7145725568,4113.4421516587,4195.1567242155
   0.8900000000,  82.6343815899,4112.5223424817,4195.1567240716
   0.8950000000,  83.5592345385,4111.5974893884,4195.1567239269
   0.9000000000,  84.4891290873,4110.6675946941,4195.1567237814
   0.9050000000,  85.4240629087,4109.7326607264,4195.1567236351
   0.9100000000,  86.3640336623,4108.7926898258,4195.1567234881
   0.9150000000,  87.3090389950,4107.8476843452,4195.1567233402
   0.9200000000,  88.2590765414,4106.8976466502,4195.1567231916
   0.9250000000,  89.2141439231,4105.9425791190,4195.1567230421
   0.9300000000,  90.1742387495,4104.9824841424,4195.1567228919
   0.9350000000,  91.1393586172,4104.0173641237,4195.1567227409
   0.9400000000,  92.1095011102,4103.0472214790,4195.1567225892
   0.9450000000,  93.0846638000,4102.0720586366,4195.1567224366
   0.9500000000,  94.0648442455,4101.0918780377,4195.1567222832
   0.9550000000,  95.0500399932,4100.1066821359,4195.1567221291
   0.9600000000,  96.0402485767,4099.1164733974,4195.1567219742
   0.9650000000,  97.0354675175,4098.1212543010,4195.1567218185
   0.9700000000,  98.0356943241,4097.1210273379,4195.1567216620
   0.9750000000,  99.0409264927,4096.1157950120,4195.1567215047
   0.9800000000, 100.0511615070,4095.1055598396,4195.1567213466
   0.9850000000, 101.0663968382,4094.0903243496,4195.1567211878
   0.9900000000, 102.0866299448,4093.0700910834,4195.1567210282
   0.9950000000, 103.1118582730,4092.0448625948,4195.1567208678
   1.0000000000, 104.1420792562,4091.0146414504,4195.1567207066
